NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_BLOCO;NU_POSICAO;CO_ITEM;TP_SERIE;TP_DISCIPLINA;NU_DESCRITOR_HABILIDADE;DS_GABARITO;TP_RESPOSTA_ITEM;TP_MODELO_TRI;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;NU_PARAM_B1;NU_PARAM_B2;NU_PARAM_B3;NU_PARAM_B4;IN_ITEM_COMUM
2025;22;PI;13;8;42;2;1;D10;;1;3;0.057990000000000;;;757.196780000000000;786.891600000000000;824.864870000000000;;0
2025;22;PI;11;7;41;2;1;D10;;1;3;0.036390000000000;;;803.965510000000000;851.861780000000000;882.369810000000000;;0
2025;22;PI;12;7;41;2;1;D10;;1;3;0.036390000000000;;;803.965510000000000;851.861780000000000;882.369810000000000;;0
2025;22;PI;12;9;43;2;1;D10;;1;3;0.048240000000000;;;749.101860000000000;787.887980000000000;;;0
2025;22;PI;13;7;41;2;1;D10;;1;3;0.036390000000000;;;803.965510000000000;851.861780000000000;882.369810000000000;;0
2025;22;PI;11;6;40;2;1;D10;;1;3;0.046110000000000;;;751.940860000000000;823.344050000000000;;;0
2025;22;PI;13;1;46;2;1;D09;;2;3;0.028430000000000;;;642.333490000000000;655.140570000000000;669.078690000000000;721.374430000000000;0
2025;22;PI;13;6;40;2;1;D10;;1;3;0.046110000000000;;;751.940860000000000;823.344050000000000;;;0
2025;22;PI;13;2;48;2;1;D09;;2;3;0.033080000000000;;;669.893800000000000;682.415070000000000;705.279150000000000;761.314120000000000;0
2025;22;PI;12;6;40;2;1;D10;;1;3;0.046110000000000;;;751.940860000000000;823.344050000000000;;;0
2025;22;PI;11;5;39;2;1;D10;;1;3;0.036700000000000;;;738.334650000000000;790.406760000000000;;;0
2025;22;PI;12;5;39;2;1;D10;;1;3;0.036700000000000;;;738.334650000000000;790.406760000000000;;;0
2025;22;PI;13;5;39;2;1;D10;;1;3;0.036700000000000;;;738.334650000000000;790.406760000000000;;;0
2025;22;PI;9;1;49;2;1;D05;A;3;2;0.036490000000000;758.445070000000000;0.207710000000000;;;;;0
2025;22;PI;11;4;38;2;1;D10;;1;3;0.051000000000000;;;738.489920000000000;777.435120000000000;837.553370000000000;;0
2025;22;PI;12;4;38;2;1;D10;;1;3;0.051000000000000;;;738.489920000000000;777.435120000000000;837.553370000000000;;0
2025;22;PI;13;4;38;2;1;D10;;1;3;0.051000000000000;;;738.489920000000000;777.435120000000000;837.553370000000000;;0
2025;22;PI;7;1;105;2;1;D05;B;3;2;0.024910000000000;781.461400000000000;0.249790000000000;;;;;0
2025;22;PI;11;3;37;2;1;D10;;1;3;0.053040000000000;;;737.592040000000000;785.672490000000000;;;0
2025;22;PI;12;3;37;2;1;D10;;1;3;0.053040000000000;;;737.592040000000000;785.672490000000000;;;0
2025;22;PI;8;2;106;2;1;D04;C;3;2;0.034950000000000;761.352910000000000;0.352040000000000;;;;;0
2025;22;PI;13;3;37;2;1;D10;;1;3;0.053040000000000;;;737.592040000000000;785.672490000000000;;;0
2025;22;PI;12;2;36;2;1;D09;;2;3;0.032080000000000;;;671.875430000000000;689.079430000000000;720.212240000000000;783.619690000000000;0
2025;22;PI;9;2;35;2;1;D04;D;3;2;0.052720000000000;723.222670000000000;0.207280000000000;;;;;0
2025;22;PI;5;4;102;2;1;D04;B;3;2;0.047350000000000;768.398310000000000;0.242370000000000;;;;;0
2025;22;PI;7;3;34;2;1;D04;C;3;2;0.051620000000000;775.100000000000000;0.227540000000000;;;;;0
2025;22;PI;6;3;101;2;1;D05;C;3;2;0.057080000000000;758.809950000000000;0.235210000000000;;;;;0
2025;23;CE;2;3;117537;2;1;D03;C;3;2;0.071710000000000;698.435290000000000;0.264330000000000;;;;;1
2025;23;CE;3;2;117534;2;1;D01;B;3;2;0.019800000000000;613.221470000000000;0.187240000000000;;;;;1
2025;23;CE;1;1;117484;2;1;D02;B;3;2;0.029850000000000;618.713900000000000;0.106600000000000;;;;;1
2025;23;CE;1;5;117443;2;1;D08;D;3;2;0.031330000000000;717.888460000000000;0.149420000000000;;;;;1
2025;23;CE;1;7;117472;2;1;D02;D;3;2;0.046610000000000;654.806690000000000;0.076510000000000;;;;;1
2025;23;CE;1;8;117442;2;1;D03;B;3;2;0.040230000000000;679.382170000000000;0.325150000000000;;;;;1
2025;23;CE;3;8;117416;2;1;D01;A;3;2;0.023300000000000;649.756400000000000;0.115840000000000;;;;;1
2025;23;CE;2;6;117413;2;1;D07;D;3;2;0.022440000000000;730.521040000000000;0.177480000000000;;;;;1
2025;23;CE;2;7;117353;2;1;D01;C;3;2;0.035120000000000;684.711150000000000;0.214000000000000;;;;;1
2025;23;CE;2;1;117351;2;1;D02;A;3;2;0.034980000000000;632.421980000000000;0.107470000000000;;;;;1
2025;23;CE;2;5;117350;2;1;D02;A;3;2;0.035970000000000;631.354300000000000;0.106530000000000;;;;;1
2025;23;CE;2;4;117492;2;1;D05;C;3;2;0.027570000000000;715.649870000000000;0.208640000000000;;;;;1
2025;23;CE;4;3;128;2;1;D05;C;3;2;0.031240000000000;770.776770000000000;0.166260000000000;;;;;0
2025;23;CE;4;4;127;2;1;D08;B;3;2;0.016630000000000;772.174650000000000;0.191880000000000;;;;;0
2025;23;CE;5;1;125;2;1;D08;B;3;2;0.027890000000000;738.258460000000000;0.217550000000000;;;;;0
2025;23;CE;2;8;117434;2;1;D03;B;3;2;0.055460000000000;708.748630000000000;0.378710000000000;;;;;1
2025;23;CE;1;6;123;2;1;D01;B;3;2;0.027230000000000;789.407270000000000;0.273780000000000;;;;;0
2025;23;CE;3;7;121;2;1;D03;B;3;2;0.029250000000000;623.811760000000000;0.196600000000000;;;;;0
